"Driver.ID","Vehicle.ID","Vehicle.Model.Year"
32713,78,2005
5464,74,2005
9444,67,2005
14869,29,2005
15431,26,2005
28891,59,2005
7219,18,2005
7874,32,2005
8037,37,2005
8845,7,2005
10617,53,2005
11910,17,2005
12305,31,2005
12346,64,2005
12653,78,2005
16880,63,2005
19175,50,2005
25047,55,2005
25555,58,2005
27669,58,2005
28487,74,2005
29021,19,2005
29610,27,2005
30393,43,2005
31680,56,2005
3236,21,2005
3300,39,2005
3418,18,2005
3514,44,2005
3580,87,2005
3617,10,2005
3774,59,2005
3914,64,2005
3966,50,2005
4050,50,2005
4066,75,2005
5811,20,2005
6664,55,2005
7225,41,2005
7361,61,2005
7473,85,2005
8385,35,2005
8502,66,2005
8503,29,2005
9103,3,2005
9200,66,2005
10257,62,2005
10618,87,2005
10821,53,2005
10921,76,2005
11058,65,2005
11893,71,2005
12051,40,2005
12706,14,2005
12925,82,2005
13019,61,2005
13084,56,2005
13220,62,2005
14563,48,2005
14899,75,2005
16073,66,2005
16660,85,2005
17817,6,2005
18468,86,2005
19131,43,2005
19510,51,2005
19660,78,2005
20043,56,2005
20314,7,2005
20338,87,2005
20605,78,2005
20684,7,2005
21188,16,2005
21352,65,2005
21572,72,2005
21720,80,2005
21765,37,2005
22696,55,2005
22832,75,2005
22844,54,2005
23321,57,2005
23402,38,2005
23477,75,2005
23762,34,2005
24006,54,2005
24403,80,2005
24585,61,2005
24664,25,2005
24667,64,2005
24746,27,2005
24959,54,2005
25080,10,2005
25593,75,2005
26813,5,2005
27724,77,2005
28287,32,2005
28922,55,2005
29286,5,2005
29998,51,2005
30080,79,2005
30152,72,2005
30157,71,2005
30887,49,2005
31214,61,2005
31641,62,2005
32360,78,2005
32629,75,2005
32980,46,2005
3141,33,2005
8052,76,2005
11756,84,2005
11864,81,2005
13412,73,2005
15561,86,2005
16755,63,2005
17941,44,2005
21718,81,2005
23793,28,2005
25230,49,2005
25333,50,2005
26956,61,2005
29490,65,2005
30585,74,2005
