Location ID,ZIP,Primary_City,State,County,Estimated_population_2013
375,94404,San Mateo,CA,San Mateo County,"32,417"
404,91326,Porter Ranch,CA,Los Angeles County,"30,978"
425,92508,Riverside,CA,Riverside County,"30,337"
445,95382,Turlock,CA,Stanislaus County,"29,775"
446,90029,Los Angeles,CA,Los Angeles County,"29,702"
469,92223,Beaumont,CA,Riverside County,"28,784"
493,94589,Vallejo,CA,Solano County,"27,752"
517,94401,San Mateo,CA,San Mateo County,"27,144"
548,91423,Sherman Oaks,CA,Los Angeles County,"25,746"
569,92008,Carlsbad,CA,San Diego County,"24,884"
591,95472,Sebastopol,CA,Sonoma County,"24,182"
337,92337,Fontana,CA,San Bernardino County,"34,642"
395,93036,Oxnard,CA,Ventura County,"31,394"
405,90049,Los Angeles,CA,Los Angeles County,"30,971"
407,93534,Lancaster,CA,Los Angeles County,"30,946"
436,90260,Lawndale,CA,Los Angeles County,"30,019"
468,95118,San Jose,CA,Santa Clara County,"28,806"
484,93612,Clovis,CA,Fresno County,"27,974"
494,91739,Rancho Cucamonga,CA,San Bernardino County,"27,748"
528,94510,Benicia,CA,Solano County,"26,571"
544,90062,Los Angeles,CA,Los Angeles County,"25,773"
566,94582,San Ramon,CA,Contra Costa County,"24,952"
575,90302,Inglewood,CA,Los Angeles County,"24,750"
576,91741,Glendora,CA,Los Angeles County,"24,705"
592,91724,Covina,CA,Los Angeles County,"24,160"
323,91016,Monrovia,CA,Los Angeles County,"35,268"
349,90266,Manhattan Beach,CA,Los Angeles County,"33,870"
379,91367,Woodland Hills,CA,Los Angeles County,"32,094"
396,95407,Santa Rosa,CA,Sonoma County,"31,370"
423,92083,Vista,CA,San Diego County,"30,413"
507,94585,Suisun City,CA,Solano County,"27,447"
536,90222,Compton,CA,Los Angeles County,"26,204"
541,92220,Banning,CA,Riverside County,"25,960"
543,93305,Bakersfield,CA,Kern County,"25,884"
554,90304,Inglewood,CA,Los Angeles County,"25,406"
556,91302,Calabasas,CA,Los Angeles County,"25,359"
557,90057,Los Angeles,CA,Los Angeles County,"25,327"
572,92595,Wildomar,CA,Riverside County,"24,808"
581,93420,Arroyo Grande,CA,San Luis Obispo County,"24,538"
595,91752,Mira Loma,CA,Riverside County,"24,021"
325,90604,Whittier,CA,Los Angeles County,"35,179"
351,96003,Redding,CA,Shasta County,"33,782"
359,92131,San Diego,CA,San Diego County,"33,219"
372,91001,Altadena,CA,Los Angeles County,"32,598"
380,91006,Arcadia,CA,Los Angeles County,"32,085"
392,90301,Inglewood,CA,Los Angeles County,"31,505"
471,92881,Corona,CA,Riverside County,"28,727"
480,90036,Los Angeles,CA,Los Angeles County,"28,135"
486,94545,Hayward,CA,Alameda County,"27,927"
530,91301,Agoura Hills,CA,Los Angeles County,"26,447"
582,94306,Palo Alto,CA,Santa Clara County,"24,535"
587,95928,Chico,CA,Butte County,"24,301"
300,91606,North Hollywood,CA,Los Angeles County,"36,625"
356,91311,Chatsworth,CA,Los Angeles County,"33,337"
365,95695,Woodland,CA,Yolo County,"33,000"
366,92591,Temecula,CA,Riverside County,"32,958"
429,94523,Pleasant Hill,CA,Contra Costa County,"30,233"
444,95838,Sacramento,CA,Sacramento County,"29,787"
515,90802,Long Beach,CA,Los Angeles County,"27,222"
529,96002,Redding,CA,Shasta County,"26,531"
534,94903,San Rafael,CA,Marin County,"26,243"
550,94580,San Lorenzo,CA,Alameda County,"25,569"
553,94610,Oakland,CA,Alameda County,"25,467"
570,95824,Sacramento,CA,Sacramento County,"24,879"
586,95219,Stockton,CA,San Joaquin County,"24,326"
